# A, B, C
3.530984091995051921e-01,4.741423271327028233e-01,1.896569308530811293e+00
4.741423271327028233e-01,4.748903646754508712e-01,1.899561458701803485e+00
3.981902653089831601e-01,4.751960464014171603e-01,1.900784185605668641e+00
9.425712604792710891e-01,4.845210015480803656e-01,1.938084006192321462e+00
6.327562790388406855e-01,4.849774855253473627e-01,1.939909942101389451e+00
4.659932645479742397e-01,4.875283038601388452e-01,1.950113215440555381e+00
4.040296727120128439e-01,4.877095246272408202e-01,1.950838098508963281e+00
6.632986496756708705e-01,5.001291429525923649e-01,2.000516571810369459e+00
5.141397368863579453e-01,5.039247360871609294e-01,2.015698944348643717e+00
2.094575429608445116e-01,5.059798558393867607e-01,2.023919423357547043e+00
6.524661926129561307e-01,5.082621060847084538e-01,2.033048424338833815e+00
5.136937683632295526e-01,5.108186024914698198e-01,2.043274409965879279e+00
5.665350199209318038e-01,5.120314121907184601e-01,2.048125648762873841e+00
4.877095246272408202e-01,5.136937683632295526e-01,2.054775073452918210e+00
3.920337179349741574e-01,5.141397368863579453e-01,2.056558947545431781e+00
5.574044752194490249e-01,5.190226221399504292e-01,2.076090488559801717e+00
5.001291429525923649e-01,5.200664522438691595e-01,2.080265808975476638e+00
3.777942844453204829e-01,5.208293319633482410e-01,2.083317327853392964e+00
6.517651491862875845e-01,5.231312445149104429e-01,2.092524978059641771e+00
6.784472663600814579e-01,5.266934182758040706e-01,2.106773673103216282e+00
5.266934182758040706e-01,5.270760316123226374e-01,2.108304126449290550e+00
4.537930557319163616e-01,5.280606437195189962e-01,2.112242574878075985e+00
5.270760316123226374e-01,5.328611634417504961e-01,2.131444653767001984e+00
4.086517262046925336e-01,5.533022791840598309e-01,2.213209116736239324e+00
1.591260086364147397e-01,5.545439330789604382e-01,2.218175732315841753e+00
6.024148056283136210e-01,5.574044752194490249e-01,2.229617900877796099e+00
6.232058243172090561e-01,5.634503779407431523e-01,2.253801511762972609e+00
3.358932686463693695e-01,5.637983119512067764e-01,2.255193247804827106e+00
3.160088746019467099e-01,5.639380974805159319e-01,2.255752389922063728e+00
3.953989534301378672e-01,5.658774226477162328e-01,2.263509690590864931e+00
5.658774226477162328e-01,5.665350199209318038e-01,2.266140079683727215e+00
6.235130179295611530e-01,5.810501545836352921e-01,2.324200618334541169e+00
5.200664522438691595e-01,5.828366995917532156e-01,2.331346798367012862e+00
5.634503779407431523e-01,5.878201875670271415e-01,2.351280750268108566e+00
4.504806099625912053e-01,5.914707685131641579e-01,2.365883074052656632e+00
5.082621060847084538e-01,6.024148056283136210e-01,2.409659222513254484e+00
2.508059877137955307e-01,6.025214352981033139e-01,2.410085741192413256e+00
7.346461822123269148e-01,6.106055298624668559e-01,2.442422119449867424e+00
5.059798558393867607e-01,6.114804833420175445e-01,2.445921933368070178e+00
6.255128757004896345e-01,6.232058243172090561e-01,2.492823297268836225e+00
4.371855097388646083e-01,6.235130179295611530e-01,2.494052071718244612e+00
1.703996592862050963e-01,6.255128757004896345e-01,2.502051502801958538e+00
5.280606437195189962e-01,6.304399539168494826e-01,2.521759815667397930e+00
5.878201875670271415e-01,6.327562790388406855e-01,2.531025116155362742e+00
4.611590860957364146e-01,6.517651491862875845e-01,2.607060596745150338e+00
3.228666305911853662e-01,6.524661926129561307e-01,2.609864770451824523e+00
2.581736886184602953e-01,6.565756722373630172e-01,2.626302688949452069e+00
6.565756722373630172e-01,6.632986496756708705e-01,2.653194598702683482e+00
3.669232687353451983e-01,6.699083383713103634e-01,2.679633353485241454e+00
5.637983119512067764e-01,6.784472663600814579e-01,2.713789065440325832e+00
5.914707685131641579e-01,7.160476747487589666e-01,2.864190698995035866e+00
1.095252545339043260e-01,7.346461822123269148e-01,2.938584728849307659e+00
4.380604355357151647e-01,7.371648978667577623e-01,2.948659591467031049e+00
6.114804833420175445e-01,7.993859822459602471e-01,3.197543928983840988e+00
3.711719463600046121e-01,9.425712604792710891e-01,3.770285041917084357e+00
